1er jour de la semaine,Semaine,Région Code,Région,Classe d'âge,Taux de passages aux urgences pour pneumopathie,Taux d'hospitalisations après passages aux urgences pour pneumopathie,Taux d'actes médicaux SOS médecins pour pneumopathie
2021-07-05,2021-S27,32,Hauts-de-France,05-14 ans,277.29636049,1595.7446809,199.00497512
2021-07-05,2021-S27,32,Hauts-de-France,15-64 ans,388.57586944,1851.8518519,193.34049409
2021-07-05,2021-S27,32,Hauts-de-France,65 ans ou plus,1958.9552239,3217.6973353,949.36708861
2021-07-12,2021-S28,32,Hauts-de-France,15-64 ans,400.92014459,1726.0579065,253.21386833
2021-07-12,2021-S28,32,Hauts-de-France,65 ans ou plus,2271.4258446,4220.7792208,2016.1290323
2021-07-26,2021-S30,32,Hauts-de-France,00-04 ans,390.32006245,1421.8009479,307.69230769
2021-07-26,2021-S30,32,Hauts-de-France,05-14 ans,86.956521739,740.74074074,0.0
2021-07-26,2021-S30,32,Hauts-de-France,15-64 ans,470.11417058,1896.263246,131.28282071
2021-07-26,2021-S30,32,Hauts-de-France,65 ans ou plus,2739.7260274,4986.7374005,1153.8461538
2021-07-26,2021-S30,32,Hauts-de-France,Tous âges,908.87347525,3280.3180915,236.18327822
2021-08-02,2021-S31,32,Hauts-de-France,00-04 ans,475.57284911,1401.8691589,462.5346901
2021-08-02,2021-S31,32,Hauts-de-France,65 ans ou plus,2175.543886,3921.5686275,1248.4394507
2021-08-09,2021-S32,32,Hauts-de-France,00-04 ans,139.53488372,0.0,110.37527594
2021-08-09,2021-S32,32,Hauts-de-France,15-64 ans,475.22538263,2205.0716648,94.571590694
2021-08-09,2021-S32,32,Hauts-de-France,65 ans ou plus,2062.6017731,3890.8539666,951.24851367
2021-08-09,2021-S32,32,Hauts-de-France,Tous âges,778.67501648,2895.7528958,176.58930373
2021-08-16,2021-S33,32,Hauts-de-France,15-64 ans,503.88410666,2162.1621622,265.20174275
2021-08-16,2021-S33,32,Hauts-de-France,65 ans ou plus,2623.255814,4573.1707317,1251.5644556
2021-08-16,2021-S33,32,Hauts-de-France,Tous âges,936.34531407,3225.0358337,351.49384886
2021-08-23,2021-S34,32,Hauts-de-France,00-04 ans,142.31499051,934.57943925,117.23329426
2021-08-30,2021-S35,32,Hauts-de-France,00-04 ans,266.31158455,1680.6722689,219.78021978
2021-09-06,2021-S36,32,Hauts-de-France,Tous âges,802.95372262,2948.2419742,270.17502643
2021-09-13,2021-S37,32,Hauts-de-France,05-14 ans,122.04051745,1127.8195489,252.84450063
